layer,episode,type,weight_mean,weight_std,grad_mean,grad_std
bn1.bias,1,actor,0.0,0.0,0.0,0.0
fc1.weight,1,actor,0.0009900000877678394,0.044493358582258224,0.0,0.0
fc1.weight,1,critic,-0.0006668309215456247,0.045465052127838135,0.0,0.0
fc2.bias,1,actor,0.0012609398690983653,0.045639198273420334,0.0,0.0
fc2.bias,1,critic,0.0004919597413390875,0.04347533360123634,0.0,0.0
bn1.weight,1,critic,0.4838082492351532,0.28290632367134094,0.0,0.0
bn1.weight,1,actor,0.4838082492351532,0.28290632367134094,0.0,0.0
fc1.bias,1,critic,-0.0006118814926594496,0.11791778355836868,0.0,0.0
fc2.weight,1,actor,0.000190975348232314,0.045099832117557526,0.0,0.0
fc2.weight,1,critic,0.00025334703968837857,0.05090314522385597,0.0,0.0
fc3.bias,1,actor,-0.02703293412923813,0.04241391271352768,0.0,0.0
fc3.bias,1,critic,0.047853611409664154,0.0,0.0,0.0
fc3.weight,1,actor,-3.912040119757876e-05,0.0017167101614177227,0.0,0.0
fc3.weight,1,critic,-0.00011902218102477491,0.0017237631836906075,0.0,0.0
fc1.bias,1,actor,-0.0006118814926594496,0.11791778355836868,0.0,0.0
bn1.bias,1,critic,0.0,0.0,0.0,0.0
fc1.bias,2,actor,-0.0006118814926594496,0.11791778355836868,0.0,0.0
fc2.bias,2,actor,0.0012609398690983653,0.045639198273420334,0.0,0.0
fc2.bias,2,critic,0.0004919597413390875,0.04347533360123634,0.0,0.0
bn1.weight,2,critic,0.4838082492351532,0.28290632367134094,0.0,0.0
bn1.weight,2,actor,0.4838082492351532,0.28290632367134094,0.0,0.0
fc2.weight,2,actor,0.000190975348232314,0.045099832117557526,0.0,0.0
fc2.weight,2,critic,0.00025334703968837857,0.05090314522385597,0.0,0.0
fc1.weight,2,critic,-0.0006668309215456247,0.045465052127838135,0.0,0.0
fc1.weight,2,actor,0.0009900000877678394,0.044493358582258224,0.0,0.0
fc1.bias,2,critic,-0.0006118814926594496,0.11791778355836868,0.0,0.0
bn1.bias,2,actor,0.0,0.0,0.0,0.0
bn1.bias,2,critic,0.0,0.0,0.0,0.0
fc3.bias,2,critic,0.047853611409664154,0.0,0.0,0.0
fc3.weight,2,actor,-3.912040119757876e-05,0.0017167101614177227,0.0,0.0
fc3.weight,2,critic,-0.00011902218102477491,0.0017237631836906075,0.0,0.0
fc3.bias,2,actor,-0.02703293412923813,0.04241391271352768,0.0,0.0
fc1.bias,3,actor,-0.0006118814926594496,0.11791778355836868,0.0,0.0
fc1.bias,3,critic,-0.0006118814926594496,0.11791778355836868,0.0,0.0
fc2.bias,3,actor,0.0012609398690983653,0.045639198273420334,0.0,0.0
fc2.bias,3,critic,0.0004919597413390875,0.04347533360123634,0.0,0.0
bn1.weight,3,critic,0.4838082492351532,0.28290632367134094,0.0,0.0
fc2.weight,3,actor,0.000190975348232314,0.045099832117557526,0.0,0.0
fc3.weight,3,critic,-0.00011902218102477491,0.0017237631836906075,0.0,0.0
bn1.bias,3,critic,0.0,0.0,0.0,0.0
fc3.bias,3,critic,0.047853611409664154,0.0,0.0,0.0
fc3.bias,3,actor,-0.02703293412923813,0.04241391271352768,0.0,0.0
bn1.bias,3,actor,0.0,0.0,0.0,0.0
bn1.weight,3,actor,0.4838082492351532,0.28290632367134094,0.0,0.0
fc3.weight,3,actor,-3.912040119757876e-05,0.0017167101614177227,0.0,0.0
fc2.weight,3,critic,0.00025334703968837857,0.05090314522385597,0.0,0.0
fc1.weight,3,actor,0.0009900000877678394,0.044493358582258224,0.0,0.0
fc1.weight,3,critic,-0.0006668309215456247,0.045465052127838135,0.0,0.0
fc1.weight,4,actor,0.0009900000877678394,0.044493358582258224,0.0,0.0
fc1.weight,4,critic,-0.0006668309215456247,0.045465052127838135,0.0,0.0
fc3.weight,4,critic,-0.00011902218102477491,0.0017237631836906075,0.0,0.0
fc3.weight,4,actor,-3.912040119757876e-05,0.0017167101614177227,0.0,0.0
fc2.weight,4,actor,0.000190975348232314,0.045099832117557526,0.0,0.0
bn1.bias,4,critic,0.0,0.0,0.0,0.0
bn1.bias,4,actor,0.0,0.0,0.0,0.0
fc2.weight,4,critic,0.00025334703968837857,0.05090314522385597,0.0,0.0
fc2.bias,4,actor,0.0012609398690983653,0.045639198273420334,0.0,0.0
bn1.weight,4,critic,0.4838082492351532,0.28290632367134094,0.0,0.0
fc2.bias,4,critic,0.0004919597413390875,0.04347533360123634,0.0,0.0
fc3.bias,4,critic,0.047853611409664154,0.0,0.0,0.0
fc1.bias,4,actor,-0.0006118814926594496,0.11791778355836868,0.0,0.0
fc1.bias,4,critic,-0.0006118814926594496,0.11791778355836868,0.0,0.0
bn1.weight,4,actor,0.4838082492351532,0.28290632367134094,0.0,0.0
fc3.bias,4,actor,-0.02703293412923813,0.04241391271352768,0.0,0.0
fc3.bias,5,actor,-0.02703293412923813,0.04241391271352768,0.0,0.0
fc1.bias,5,actor,-0.0006118814926594496,0.11791778355836868,0.0,0.0
fc1.bias,5,critic,-0.0006118814926594496,0.11791778355836868,0.0,0.0
fc3.bias,5,critic,0.047853611409664154,0.0,0.0,0.0
bn1.bias,5,critic,0.0,0.0,0.0,0.0
bn1.bias,5,actor,0.0,0.0,0.0,0.0
fc1.weight,5,actor,0.0009900000877678394,0.044493358582258224,0.0,0.0
fc1.weight,5,critic,-0.0006668309215456247,0.045465052127838135,0.0,0.0
fc2.bias,5,critic,0.0004919597413390875,0.04347533360123634,0.0,0.0
fc2.bias,5,actor,0.0012609398690983653,0.045639198273420334,0.0,0.0
fc2.weight,5,critic,0.00025334703968837857,0.05090314522385597,0.0,0.0
fc2.weight,5,actor,0.000190975348232314,0.045099832117557526,0.0,0.0
bn1.weight,5,critic,0.4838082492351532,0.28290632367134094,0.0,0.0
bn1.weight,5,actor,0.4838082492351532,0.28290632367134094,0.0,0.0
fc3.weight,5,actor,-3.912040119757876e-05,0.0017167101614177227,0.0,0.0
fc3.weight,5,critic,-0.00011902218102477491,0.0017237631836906075,0.0,0.0
bn1.bias,6,critic,0.0,0.0,0.0,0.0
fc1.weight,6,actor,0.0009900000877678394,0.044493358582258224,0.0,0.0
bn1.weight,6,critic,0.4838082492351532,0.28290632367134094,0.0,0.0
